match_api_id,country_id,league_id,season,stage,match_date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,match_result
493098,1,1,2008/2009,33,2009-05-09,9986,9987,3,0,home_win
493099,1,1,2008/2009,33,2009-05-09,9996,10000,0,2,away_win
493100,1,1,2008/2009,33,2009-05-09,8571,9991,0,2,away_win
493101,1,1,2008/2009,33,2009-05-09,9994,7947,0,2,away_win
493102,1,1,2008/2009,33,2009-05-08,9993,8203,3,1,home_win
493103,1,1,2008/2009,33,2009-05-09,8635,9999,3,1,home_win
493104,1,1,2008/2009,33,2009-05-09,9998,4049,1,1,draw
493105,1,1,2008/2009,33,2009-05-09,9984,10001,2,1,home_win
493106,1,1,2008/2009,34,2009-05-16,9987,8635,0,2,away_win
493107,1,1,2008/2009,34,2009-05-16,9991,9985,0,1,away_win
493108,1,1,2008/2009,34,2009-05-16,10000,9998,3,0,home_win
493109,1,1,2008/2009,34,2009-05-16,7947,9986,1,2,away_win
493110,1,1,2008/2009,34,2009-05-16,9999,9984,1,2,away_win
493111,1,1,2008/2009,34,2009-05-15,8203,9994,3,0,home_win
493112,1,1,2008/2009,34,2009-05-16,8342,9996,4,1,home_win
493113,1,1,2008/2009,34,2009-05-16,10001,8571,1,3,away_win
493114,1,1,2008/2009,34,2009-05-16,4049,9993,1,0,home_win
492500,1,1,2008/2009,4,2008-09-13,8342,7947,1,1,draw
492501,1,1,2008/2009,4,2008-09-13,9985,8571,2,0,home_win
492502,1,1,2008/2009,4,2008-09-13,9998,8635,1,2,away_win
492503,1,1,2008/2009,4,2008-09-14,10000,9987,1,3,away_win
492504,1,1,2008/2009,4,2008-09-14,9986,9984,3,2,home_win
492506,1,1,2008/2009,4,2008-09-13,9994,10001,1,1,draw
492508,1,1,2008/2009,4,2008-09-13,8203,4049,0,0,draw
492509,1,1,2008/2009,4,2008-09-13,9996,9991,4,2,home_win
492511,1,1,2008/2009,4,2008-09-13,9993,9999,3,0,home_win
492517,1,1,2008/2009,5,2008-09-19,8635,9986,2,0,home_win
492518,1,1,2008/2009,5,2008-09-21,9987,8342,0,1,away_win
492519,1,1,2008/2009,5,2008-09-20,9984,9993,1,0,home_win
492520,1,1,2008/2009,5,2008-09-20,9991,8203,1,2,away_win
492521,1,1,2008/2009,5,2008-09-20,7947,10000,2,0,home_win
492522,1,1,2008/2009,5,2008-09-20,9999,9994,0,1,away_win
492523,1,1,2008/2009,5,2008-09-20,8571,9998,1,0,home_win
492524,1,1,2008/2009,5,2008-09-21,4049,9985,0,1,away_win
492525,1,1,2008/2009,5,2008-09-20,10001,9996,0,0,draw
492526,1,1,2008/2009,6,2008-09-27,8342,10001,2,0,home_win
492527,1,1,2008/2009,6,2008-09-26,9985,8635,2,1,home_win
492528,1,1,2008/2009,6,2008-09-27,9998,9999,2,0,home_win
492529,1,1,2008/2009,6,2008-09-27,10000,4049,1,0,home_win
492530,1,1,2008/2009,6,2008-09-27,9986,8571,1,2,away_win
492531,1,1,2008/2009,6,2008-09-27,9994,9984,1,1,draw
492532,1,1,2008/2009,6,2008-09-29,8203,7947,4,1,home_win
492534,1,1,2008/2009,6,2008-09-28,9996,9987,1,2,away_win
492535,1,1,2008/2009,6,2008-09-28,9993,9991,2,2,draw
492536,1,1,2008/2009,7,2008-10-03,8635,9996,2,1,home_win
492537,1,1,2008/2009,7,2008-10-04,9987,8203,2,1,home_win
492538,1,1,2008/2009,7,2008-10-04,9998,9986,1,1,draw
492539,1,1,2008/2009,7,2008-10-05,9984,9985,4,1,home_win
492540,1,1,2008/2009,7,2008-10-04,9991,9994,1,1,draw
492541,1,1,2008/2009,7,2008-10-05,9999,8342,0,1,away_win
492542,1,1,2008/2009,7,2008-10-04,8571,9993,0,0,draw
492543,1,1,2008/2009,7,2008-10-04,4049,7947,2,1,home_win
492544,1,1,2008/2009,7,2008-10-04,10001,10000,3,2,home_win
492545,1,1,2008/2009,8,2008-10-19,8342,9984,3,1,home_win
492546,1,1,2008/2009,8,2008-10-18,9985,9998,2,1,home_win
492547,1,1,2008/2009,8,2008-10-19,10000,8635,4,0,home_win
492548,1,1,2008/2009,8,2008-10-18,9994,8571,2,0,home_win
492549,1,1,2008/2009,8,2008-10-18,7947,9987,2,4,away_win
492550,1,1,2008/2009,8,2008-10-18,8203,10001,1,3,away_win
492551,1,1,2008/2009,8,2008-10-18,9996,9999,2,0,home_win
492552,1,1,2008/2009,8,2008-10-18,4049,9991,0,1,away_win
492553,1,1,2008/2009,8,2008-10-18,9993,9986,1,2,away_win
492554,1,1,2008/2009,9,2008-10-25,8635,8203,7,1,home_win
492555,1,1,2008/2009,9,2008-10-26,9987,9985,0,0,draw
492556,1,1,2008/2009,9,2008-10-25,9998,9993,0,0,draw
492557,1,1,2008/2009,9,2008-10-25,9986,9994,1,1,draw
492558,1,1,2008/2009,9,2008-10-25,9984,7947,1,2,away_win
492559,1,1,2008/2009,9,2008-10-26,9991,8342,3,0,home_win
492561,1,1,2008/2009,9,2008-10-25,9999,10000,0,3,away_win
492562,1,1,2008/2009,9,2008-10-24,8571,9996,2,2,draw
492563,1,1,2008/2009,9,2008-10-25,10001,4049,4,1,home_win
665318,1,1,2009/2010,1,2009-07-31,9985,9997,2,2,draw
665320,1,1,2009/2010,1,2009-08-02,9986,8342,1,2,away_win
665321,1,1,2009/2010,1,2009-08-02,9984,9991,1,3,away_win
665322,1,1,2009/2010,1,2009-08-01,9994,10000,1,1,draw
665323,1,1,2009/2010,1,2009-08-01,8571,8635,0,2,away_win
665324,1,1,2009/2010,1,2009-08-01,8203,10001,4,1,home_win
665325,1,1,2009/2010,1,2009-08-01,9999,9993,1,1,draw
665411,1,1,2009/2010,10,2009-10-04,8342,8635,4,2,home_win
665412,1,1,2009/2010,10,2009-10-04,9985,9987,1,0,home_win
665413,1,1,2009/2010,10,2009-10-03,9997,10000,1,2,away_win
665414,1,1,2009/2010,10,2009-10-03,9986,8571,3,3,draw
665417,1,1,2009/2010,10,2009-10-03,8203,9994,2,0,home_win
665420,1,1,2009/2010,10,2009-10-03,9999,9984,3,2,home_win
665421,1,1,2009/2010,10,2009-10-03,9993,10001,3,1,home_win
665425,1,1,2009/2010,11,2009-10-18,8342,9991,1,0,home_win
665426,1,1,2009/2010,11,2009-10-17,8635,9986,2,0,home_win
665427,1,1,2009/2010,11,2009-10-18,9987,8203,1,2,away_win
665429,1,1,2009/2010,11,2009-10-17,10000,9993,4,0,home_win
665430,1,1,2009/2010,11,2009-10-17,9994,9984,1,1,draw
665432,1,1,2009/2010,11,2009-10-17,8571,9999,2,0,home_win
665435,1,1,2009/2010,11,2009-10-17,10001,9985,2,0,home_win
665438,1,1,2009/2010,12,2009-10-24,9985,10000,1,1,draw
665440,1,1,2009/2010,12,2009-10-24,9997,9991,1,2,away_win
665442,1,1,2009/2010,12,2009-10-24,9986,10001,1,1,draw
665443,1,1,2009/2010,12,2009-10-24,9984,8571,1,1,draw
665444,1,1,2009/2010,12,2009-10-23,9994,9987,0,2,away_win
665445,1,1,2009/2010,12,2009-10-25,8203,8635,0,2,away_win
665446,1,1,2009/2010,12,2009-10-25,9999,8342,2,3,away_win
665535,1,1,2009/2010,13,2009-10-31,8342,9997,1,0,home_win
665536,1,1,2009/2010,13,2009-10-31,8635,9994,2,0,home_win
665537,1,1,2009/2010,13,2009-11-02,9987,9984,2,0,home_win
665539,1,1,2009/2010,13,2009-10-31,10000,9986,2,2,draw
665541,1,1,2009/2010,13,2009-11-01,9991,9993,0,1,away_win
665543,1,1,2009/2010,13,2009-10-31,8571,8203,2,0,home_win
665545,1,1,2009/2010,13,2009-10-31,10001,9999,2,2,draw
665548,1,1,2009/2010,14,2009-11-08,9985,8342,3,1,home_win
665551,1,1,2009/2010,14,2009-11-08,9987,8635,0,2,away_win
665553,1,1,2009/2010,14,2009-11-06,9986,9991,0,2,away_win
665554,1,1,2009/2010,14,2009-11-07,9984,10001,2,1,home_win
665556,1,1,2009/2010,14,2009-11-07,9994,8571,0,0,draw
665559,1,1,2009/2010,14,2009-11-07,9999,10000,2,0,home_win
665561,1,1,2009/2010,14,2009-11-07,9993,9997,4,1,home_win
665568,1,1,2009/2010,15,2009-11-21,8342,9993,1,2,away_win
665570,1,1,2009/2010,15,2009-11-21,8635,9999,3,1,home_win
665571,1,1,2009/2010,15,2009-11-21,9997,9984,1,1,draw
665574,1,1,2009/2010,15,2009-11-22,10000,8203,4,1,home_win
665575,1,1,2009/2010,15,2009-11-21,9991,9985,2,1,home_win
665577,1,1,2009/2010,15,2009-11-22,8571,9987,2,1,home_win
665581,1,1,2009/2010,15,2009-11-21,10001,9994,1,0,home_win
665585,1,1,2009/2010,16,2009-11-28,8342,9986,1,0,home_win
665586,1,1,2009/2010,16,2009-11-27,8635,8571,1,0,home_win
665588,1,1,2009/2010,16,2009-11-29,9997,9985,2,0,home_win
665590,1,1,2009/2010,16,2009-11-29,10000,9994,1,0,home_win
665591,1,1,2009/2010,16,2009-11-28,9991,9984,3,1,home_win
665595,1,1,2009/2010,16,2009-11-28,10001,8203,2,0,home_win
665596,1,1,2009/2010,16,2009-11-28,9993,9999,3,0,home_win
665598,1,1,2009/2010,17,2009-12-05,9985,9993,2,2,draw
665599,1,1,2009/2010,17,2009-12-05,9987,10001,0,0,draw
665601,1,1,2009/2010,17,2009-12-05,9986,9997,0,0,draw
665603,1,1,2009/2010,17,2009-12-06,9984,8635,1,3,away_win
665604,1,1,2009/2010,17,2009-12-06,9994,8342,0,1,away_win
665606,1,1,2009/2010,17,2009-12-05,8571,10000,1,0,home_win
665607,1,1,2009/2010,17,2009-12-04,8203,9991,2,5,away_win
665614,1,1,2009/2010,18,2009-12-12,8342,8203,1,1,draw
665616,1,1,2009/2010,18,2009-12-12,9985,9999,0,1,away_win
665617,1,1,2009/2010,18,2009-12-12,9997,8571,0,2,away_win
665619,1,1,2009/2010,18,2009-12-13,10000,9984,1,0,home_win
665620,1,1,2009/2010,18,2009-12-13,9991,9987,2,1,home_win
665622,1,1,2009/2010,18,2009-12-11,10001,8635,0,2,away_win
665623,1,1,2009/2010,18,2009-12-12,9993,9986,0,0,draw
665626,1,1,2009/2010,19,2010-02-03,8635,8342,3,2,home_win
665628,1,1,2009/2010,19,2009-12-19,9987,10000,2,2,draw
665630,1,1,2009/2010,19,2010-02-04,9986,9985,2,3,away_win
665632,1,1,2009/2010,19,2009-12-19,9994,9991,0,1,away_win
665633,1,1,2009/2010,19,2009-12-19,8571,10001,1,1,draw
665634,1,1,2009/2010,19,2010-02-02,8203,9993,1,0,home_win
665635,1,1,2009/2010,19,2009-12-19,9999,9997,1,2,away_win
